label,STE_0,STE_1,STE_2,STE_3,STE_4,STE_5,STE_6,STE_7,STE_8,STE_9,STE_10,STE_11,STE_12,STE_13,STE_14,STE_15,STE_16,STE_17,STE_18,STE_19,STE_20,STE_21,STE_22,STE_23,STE_24,STE_25,STE_26,STE_27,STE_28,STE_29,STE_30,ZCE_0,ZCE_1,ZCE_2,ZCE_3,ZCE_4,ZCE_5,ZCE_6,ZCE_7,ZCE_8,ZCE_9,ZCE_10,ZCE_11,ZCE_12,ZCE_13,ZCE_14,ZCE_15,ZCE_16,ZCE_17,ZCE_18,ZCE_19,ZCE_20,ZCE_21,ZCE_22,ZCE_23,ZCE_24,ZCE_25,ZCE_26,ZCE_27,ZCE_28,ZCE_29,ZCE_30,G350_0,G350_1,G350_2,G350_3,G350_4,G350_5,G350_6,G350_7,G350_8,G350_9,G350_10,G350_11,G350_12,G350_13,G350_14,G350_15,G350_16,G350_17,G350_18,G350_19,G350_20,G350_21,G350_22,G350_23,G350_24,G350_25,G350_26,G350_27,G350_28,G350_29,G350_30,G900_0,G900_1,G900_2,G900_3,G900_4,G900_5,G900_6,G900_7,G900_8,G900_9,G900_10,G900_11,G900_12,G900_13,G900_14,G900_15,G900_16,G900_17,G900_18,G900_19,G900_20,G900_21,G900_22,G900_23,G900_24,G900_25,G900_26,G900_27,G900_28,G900_29,G900_30,G1700_0,G1700_1,G1700_2,G1700_3,G1700_4,G1700_5,G1700_6,G1700_7,G1700_8,G1700_9,G1700_10,G1700_11,G1700_12,G1700_13,G1700_14,G1700_15,G1700_16,G1700_17,G1700_18,G1700_19,G1700_20,G1700_21,G1700_22,G1700_23,G1700_24,G1700_25,G1700_26,G1700_27,G1700_28,G1700_29,G1700_30,G2700_0,G2700_1,G2700_2,G2700_3,G2700_4,G2700_5,G2700_6,G2700_7,G2700_8,G2700_9,G2700_10,G2700_11,G2700_12,G2700_13,G2700_14,G2700_15,G2700_16,G2700_17,G2700_18,G2700_19,G2700_20,G2700_21,G2700_22,G2700_23,G2700_24,G2700_25,G2700_26,G2700_27,G2700_28,G2700_29,G2700_30,G3500_0,G3500_1,G3500_2,G3500_3,G3500_4,G3500_5,G3500_6,G3500_7,G3500_8,G3500_9,G3500_10,G3500_11,G3500_12,G3500_13,G3500_14,G3500_15,G3500_16,G3500_17,G3500_18,G3500_19,G3500_20,G3500_21,G3500_22,G3500_23,G3500_24,G3500_25,G3500_26,G3500_27,G3500_28,G3500_29,G3500_30
ON,165.0,213.0,235.0,236.0,249.0,255.0,245.0,237.0,240.0,242.0,220.0,179.0,161.0,121.0,94.0,101.0,80.0,54.0,38.0,25.0,17.0,15.0,10.0,7.0,5.0,3.0,2.0,2.0,2.0,0.0,0.0,28.0,27.0,29.0,30.0,30.0,31.0,37.0,32.0,20.0,18.0,18.0,18.0,17.0,22.0,19.0,8.0,9.0,14.0,18.0,17.0,10.0,8.0,11.0,14.0,18.0,24.0,32.0,41.0,40.0,0.0,0.0,24.0,15.0,35.0,46.0,47.0,84.0,130.0,110.0,73.0,60.0,27.0,10.0,9.0,7.0,14.0,9.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.0,24.0,26.0,66.0,91.0,76.0,43.0,21.0,133.0,255.0,210.0,15.0,10.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,127.0,174.0,96.0,46.0,32.0,32.0,54.0,47.0,19.0,21.0,10.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,12.0,13.0,58.0,114.0,71.0,114.0,111.0,18.0,26.0,31.0,25.0,5.0,12.0,13.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,97.0,113.0,109.0,255.0,255.0,255.0,255.0,250.0,54.0,84.0,46.0,31.0,109.0,99.0,19.0,7.0,2.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ON,199.0,230.0,241.0,248.0,255.0,237.0,232.0,245.0,251.0,247.0,213.0,164.0,123.0,97.0,94.0,111.0,88.0,55.0,49.0,32.0,21.0,14.0,8.0,6.0,6.0,5.0,2.0,2.0,0.0,0.0,0.0,28.0,29.0,30.0,30.0,30.0,26.0,22.0,21.0,19.0,18.0,20.0,19.0,23.0,22.0,12.0,9.0,15.0,22.0,17.0,14.0,14.0,13.0,21.0,26.0,20.0,19.0,14.0,29.0,26.0,0.0,0.0,36.0,28.0,41.0,68.0,91.0,106.0,111.0,96.0,73.0,40.0,4.0,18.0,32.0,23.0,24.0,18.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,20.0,30.0,76.0,86.0,36.0,3.0,92.0,201.0,233.0,130.0,10.0,5.0,5.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,105.0,25.0,6.0,9.0,7.0,22.0,54.0,34.0,6.0,9.0,8.0,4.0,3.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,63.0,66.0,73.0,177.0,255.0,156.0,60.0,64.0,8.0,21.0,84.0,89.0,30.0,14.0,9.0,13.0,13.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,153.0,255.0,255.0,54.0,255.0,255.0,255.0,138.0,80.0,33.0,43.0,16.0,6.0,6.0,7.0,6.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ON,151.0,192.0,214.0,226.0,230.0,245.0,255.0,228.0,210.0,236.0,242.0,215.0,163.0,138.0,106.0,85.0,98.0,88.0,68.0,42.0,35.0,37.0,25.0,17.0,13.0,7.0,6.0,4.0,3.0,3.0,2.0,26.0,27.0,28.0,29.0,30.0,31.0,30.0,34.0,29.0,18.0,18.0,18.0,21.0,24.0,31.0,29.0,18.0,17.0,18.0,20.0,18.0,10.0,14.0,19.0,15.0,14.0,22.0,26.0,23.0,41.0,38.0,5.0,29.0,46.0,51.0,70.0,54.0,82.0,133.0,76.0,50.0,58.0,16.0,20.0,25.0,14.0,46.0,49.0,12.0,3.0,4.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,62.0,29.0,6.0,28.0,25.0,11.0,15.0,147.0,255.0,255.0,231.0,11.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,36.0,76.0,74.0,15.0,10.0,96.0,185.0,118.0,38.0,21.0,18.0,23.0,7.0,5.0,16.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0,84.0,186.0,107.0,4.0,11.0,122.0,113.0,19.0,70.0,58.0,103.0,164.0,75.0,93.0,89.0,3.0,2.0,3.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,213.0,168.0,127.0,52.0,47.0,44.0,14.0,21.0,18.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ON,134.0,177.0,191.0,197.0,213.0,235.0,254.0,255.0,248.0,240.0,246.0,246.0,213.0,178.0,144.0,105.0,93.0,104.0,90.0,54.0,45.0,36.0,19.0,16.0,13.0,12.0,9.0,5.0,2.0,2.0,2.0,27.0,28.0,33.0,33.0,30.0,32.0,34.0,30.0,25.0,23.0,19.0,18.0,18.0,19.0,21.0,24.0,25.0,18.0,13.0,21.0,24.0,18.0,19.0,16.0,10.0,10.0,9.0,22.0,30.0,28.0,25.0,25.0,36.0,39.0,46.0,46.0,88.0,118.0,175.0,227.0,129.0,50.0,31.0,9.0,21.0,54.0,48.0,36.0,30.0,9.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,50.0,20.0,29.0,13.0,7.0,10.0,5.0,2.0,113.0,255.0,255.0,181.0,8.0,6.0,7.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,55.0,63.0,53.0,33.0,82.0,156.0,113.0,61.0,61.0,55.0,21.0,11.0,14.0,11.0,3.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,27.0,206.0,229.0,99.0,96.0,111.0,94.0,36.0,27.0,56.0,55.0,23.0,57.0,153.0,162.0,63.0,24.0,14.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,12.0,255.0,255.0,251.0,255.0,255.0,255.0,255.0,255.0,69.0,163.0,110.0,38.0,46.0,24.0,7.0,8.0,7.0,3.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ON,177.0,230.0,247.0,249.0,248.0,254.0,255.0,239.0,219.0,192.0,176.0,149.0,90.0,82.0,89.0,88.0,85.0,75.0,58.0,34.0,19.0,13.0,13.0,10.0,7.0,5.0,2.0,2.0,2.0,2.0,0.0,29.0,30.0,30.0,31.0,32.0,29.0,26.0,23.0,21.0,22.0,20.0,22.0,28.0,27.0,22.0,21.0,19.0,15.0,17.0,16.0,18.0,15.0,17.0,22.0,15.0,22.0,31.0,40.0,38.0,18.0,0.0,9.0,16.0,27.0,67.0,61.0,96.0,219.0,255.0,140.0,32.0,27.0,7.0,2.0,4.0,14.0,17.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,16.0,11.0,31.0,69.0,43.0,21.0,27.0,26.0,34.0,24.0,18.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,19.0,55.0,177.0,199.0,110.0,133.0,133.0,44.0,17.0,14.0,2.0,4.0,5.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,56.0,66.0,160.0,219.0,87.0,15.0,14.0,18.0,13.0,73.0,67.0,12.0,13.0,3.0,5.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,120.0,120.0,223.0,255.0,195.0,198.0,131.0,75.0,120.0,89.0,51.0,33.0,4.0,9.0,7.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ON,219.0,244.0,255.0,249.0,228.0,224.0,216.0,207.0,221.0,219.0,171.0,115.0,97.0,98.0,98.0,102.0,113.0,90.0,50.0,36.0,22.0,15.0,13.0,10.0,10.0,6.0,3.0,4.0,3.0,0.0,0.0,28.0,28.0,28.0,31.0,31.0,30.0,30.0,24.0,22.0,21.0,22.0,25.0,24.0,21.0,22.0,21.0,15.0,18.0,17.0,12.0,20.0,18.0,15.0,15.0,10.0,26.0,26.0,21.0,33.0,0.0,0.0,19.0,27.0,22.0,45.0,74.0,151.0,169.0,101.0,92.0,76.0,29.0,3.0,2.0,16.0,18.0,9.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,61.0,80.0,37.0,2.0,0.0,6.0,11.0,8.0,6.0,7.0,3.0,1.0,2.0,3.0,4.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,75.0,69.0,28.0,18.0,47.0,51.0,28.0,13.0,3.0,0.0,0.0,3.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,17.0,22.0,31.0,32.0,26.0,12.0,18.0,24.0,62.0,104.0,94.0,53.0,19.0,48.0,108.0,78.0,11.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,47.0,169.0,255.0,173.0,68.0,45.0,58.0,47.0,32.0,2.0,6.0,6.0,6.0,6.0,13.0,63.0,53.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ON,222.0,236.0,239.0,247.0,254.0,255.0,252.0,247.0,224.0,208.0,204.0,178.0,122.0,92.0,82.0,80.0,88.0,77.0,56.0,32.0,24.0,18.0,13.0,8.0,7.0,6.0,6.0,7.0,6.0,3.0,0.0,30.0,31.0,29.0,25.0,22.0,21.0,22.0,21.0,18.0,18.0,20.0,20.0,28.0,32.0,27.0,23.0,15.0,13.0,18.0,23.0,23.0,19.0,18.0,22.0,28.0,23.0,14.0,11.0,12.0,13.0,0.0,18.0,26.0,83.0,158.0,205.0,255.0,255.0,255.0,250.0,193.0,152.0,35.0,6.0,2.0,3.0,8.0,7.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,8.0,61.0,178.0,139.0,149.0,194.0,67.0,14.0,19.0,43.0,33.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,72.0,57.0,78.0,92.0,34.0,63.0,93.0,55.0,71.0,60.0,11.0,3.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,96.0,142.0,61.0,6.0,8.0,24.0,41.0,48.0,23.0,165.0,255.0,156.0,95.0,53.0,28.0,47.0,21.0,5.0,3.0,7.0,9.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0,65.0,247.0,255.0,255.0,255.0,255.0,255.0,255.0,119.0,72.0,56.0,13.0,5.0,3.0,10.0,10.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ON,232.0,245.0,245.0,248.0,252.0,255.0,247.0,233.0,227.0,212.0,194.0,168.0,117.0,91.0,78.0,76.0,78.0,73.0,61.0,45.0,38.0,26.0,20.0,18.0,12.0,7.0,8.0,9.0,9.0,7.0,2.0,31.0,33.0,34.0,33.0,32.0,30.0,28.0,29.0,24.0,20.0,20.0,18.0,23.0,22.0,21.0,21.0,20.0,17.0,21.0,23.0,13.0,12.0,16.0,20.0,20.0,16.0,11.0,9.0,7.0,8.0,5.0,18.0,20.0,16.0,19.0,42.0,87.0,125.0,146.0,147.0,69.0,20.0,21.0,9.0,9.0,10.0,18.0,20.0,12.0,10.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,75.0,45.0,46.0,72.0,66.0,53.0,38.0,73.0,118.0,80.0,21.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0,63.0,182.0,128.0,63.0,76.0,123.0,125.0,33.0,28.0,25.0,7.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,255.0,255.0,255.0,255.0,118.0,20.0,120.0,196.0,119.0,87.0,90.0,41.0,40.0,95.0,113.0,55.0,18.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0,213.0,211.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,133.0,226.0,160.0,14.0,8.0,24.0,22.0,2.0,5.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ON,143.0,194.0,204.0,194.0,187.0,204.0,241.0,255.0,246.0,239.0,235.0,174.0,107.0,96.0,103.0,105.0,113.0,99.0,70.0,42.0,26.0,18.0,13.0,9.0,5.0,4.0,4.0,4.0,4.0,3.0,0.0,28.0,28.0,30.0,36.0,44.0,43.0,33.0,24.0,21.0,20.0,21.0,22.0,26.0,29.0,23.0,18.0,11.0,10.0,14.0,14.0,15.0,14.0,11.0,11.0,16.0,28.0,28.0,14.0,12.0,19.0,0.0,26.0,49.0,69.0,118.0,143.0,167.0,186.0,196.0,152.0,100.0,76.0,32.0,22.0,24.0,32.0,29.0,9.0,6.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,65.0,109.0,115.0,40.0,28.0,31.0,6.0,12.0,16.0,22.0,13.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,31.0,35.0,27.0,14.0,8.0,0.0,1.0,2.0,11.0,15.0,5.0,1.0,2.0,7.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,31.0,83.0,99.0,49.0,21.0,18.0,39.0,99.0,75.0,21.0,26.0,21.0,0.0,28.0,53.0,36.0,25.0,16.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,94.0,119.0,110.0,110.0,46.0,27.0,223.0,255.0,145.0,125.0,48.0,9.0,2.0,9.0,21.0,19.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ON,235.0,250.0,254.0,255.0,252.0,253.0,252.0,247.0,246.0,228.0,201.0,192.0,177.0,129.0,88.0,73.0,72.0,81.0,74.0,52.0,34.0,24.0,15.0,12.0,11.0,8.0,7.0,9.0,9.0,5.0,3.0,30.0,31.0,32.0,34.0,35.0,33.0,33.0,28.0,21.0,22.0,23.0,20.0,18.0,23.0,28.0,32.0,26.0,16.0,13.0,13.0,11.0,8.0,15.0,18.0,16.0,15.0,15.0,11.0,11.0,18.0,20.0,14.0,40.0,31.0,17.0,44.0,49.0,81.0,180.0,255.0,255.0,143.0,135.0,85.0,28.0,17.0,23.0,7.0,6.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,25.0,43.0,23.0,9.0,142.0,255.0,255.0,152.0,30.0,76.0,82.0,17.0,4.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0,123.0,109.0,91.0,26.0,48.0,40.0,28.0,253.0,255.0,73.0,18.0,17.0,8.0,5.0,10.0,10.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162.0,178.0,78.0,70.0,255.0,255.0,220.0,152.0,74.0,15.0,56.0,61.0,17.0,6.0,24.0,25.0,5.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,255.0,255.0,229.0,97.0,169.0,255.0,255.0,255.0,255.0,255.0,86.0,95.0,40.0,13.0,22.0,32.0,20.0,15.0,9.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
