label,template_id,representative_sample_index,STE_0,STE_1,STE_2,STE_3,STE_4,STE_5,STE_6,STE_7,STE_8,STE_9,STE_10,STE_11,STE_12,STE_13,STE_14,STE_15,STE_16,STE_17,STE_18,STE_19,STE_20,STE_21,STE_22,STE_23,STE_24,STE_25,STE_26,STE_27,STE_28,STE_29,STE_30,ZCE_0,ZCE_1,ZCE_2,ZCE_3,ZCE_4,ZCE_5,ZCE_6,ZCE_7,ZCE_8,ZCE_9,ZCE_10,ZCE_11,ZCE_12,ZCE_13,ZCE_14,ZCE_15,ZCE_16,ZCE_17,ZCE_18,ZCE_19,ZCE_20,ZCE_21,ZCE_22,ZCE_23,ZCE_24,ZCE_25,ZCE_26,ZCE_27,ZCE_28,ZCE_29,ZCE_30,G350_0,G350_1,G350_2,G350_3,G350_4,G350_5,G350_6,G350_7,G350_8,G350_9,G350_10,G350_11,G350_12,G350_13,G350_14,G350_15,G350_16,G350_17,G350_18,G350_19,G350_20,G350_21,G350_22,G350_23,G350_24,G350_25,G350_26,G350_27,G350_28,G350_29,G350_30,G900_0,G900_1,G900_2,G900_3,G900_4,G900_5,G900_6,G900_7,G900_8,G900_9,G900_10,G900_11,G900_12,G900_13,G900_14,G900_15,G900_16,G900_17,G900_18,G900_19,G900_20,G900_21,G900_22,G900_23,G900_24,G900_25,G900_26,G900_27,G900_28,G900_29,G900_30,G1700_0,G1700_1,G1700_2,G1700_3,G1700_4,G1700_5,G1700_6,G1700_7,G1700_8,G1700_9,G1700_10,G1700_11,G1700_12,G1700_13,G1700_14,G1700_15,G1700_16,G1700_17,G1700_18,G1700_19,G1700_20,G1700_21,G1700_22,G1700_23,G1700_24,G1700_25,G1700_26,G1700_27,G1700_28,G1700_29,G1700_30,G2700_0,G2700_1,G2700_2,G2700_3,G2700_4,G2700_5,G2700_6,G2700_7,G2700_8,G2700_9,G2700_10,G2700_11,G2700_12,G2700_13,G2700_14,G2700_15,G2700_16,G2700_17,G2700_18,G2700_19,G2700_20,G2700_21,G2700_22,G2700_23,G2700_24,G2700_25,G2700_26,G2700_27,G2700_28,G2700_29,G2700_30,G3500_0,G3500_1,G3500_2,G3500_3,G3500_4,G3500_5,G3500_6,G3500_7,G3500_8,G3500_9,G3500_10,G3500_11,G3500_12,G3500_13,G3500_14,G3500_15,G3500_16,G3500_17,G3500_18,G3500_19,G3500_20,G3500_21,G3500_22,G3500_23,G3500_24,G3500_25,G3500_26,G3500_27,G3500_28,G3500_29,G3500_30
DOWN,0,138,119,124,144,205,252,252,248,246,245,249,255,253,250,245,238,212,189,170,140,105,78,74,60,50,40,29,29,28,21,13,6,18,17,17,26,31,28,31,36,42,44,43,39,30,37,40,29,28,24,20,24,23,16,14,14,13,14,11,7,7,10,19,11,11,28,31,14,10,9,13,9,16,18,4,3,9,24,38,46,67,53,33,29,8,2,1,0,0,0,0,0,0,0,5,2,19,21,75,141,67,18,19,74,92,84,100,157,193,123,85,34,2,1,1,0,0,0,0,0,0,0,0,0,0,6,2,37,255,255,255,212,255,255,227,45,70,171,147,44,64,71,18,6,8,9,5,0,0,0,0,0,0,0,0,0,5,2,2,200,205,40,253,255,255,87,85,93,32,111,149,77,37,5,5,10,9,1,0,0,0,0,0,0,0,0,0,57,31,79,255,255,255,255,255,255,80,255,255,255,255,124,225,247,83,26,5,8,7,3,1,1,2,2,0,0,0,0
DOWN,1,128,117,112,104,123,170,212,240,248,240,234,235,229,219,205,195,189,173,151,131,107,80,63,48,38,31,22,18,16,14,11,8,17,16,17,23,33,44,46,43,46,51,56,58,53,50,45,37,32,26,23,22,21,22,20,17,14,13,15,13,12,12,14,8,6,5,11,12,7,6,6,7,6,5,6,7,10,14,17,28,33,29,27,18,6,1,1,1,0,0,0,0,0,0,3,2,1,2,7,20,37,53,49,40,41,57,69,80,75,50,25,12,6,5,4,1,0,0,0,0,0,0,0,0,0,5,2,3,24,105,143,144,122,85,62,109,160,128,53,32,37,27,16,9,4,2,1,1,0,0,0,0,0,0,0,0,3,2,5,25,43,80,124,109,128,135,93,80,80,93,70,31,22,6,3,4,3,0,0,1,0,0,0,0,0,0,0,29,21,8,31,95,168,233,247,255,230,235,191,151,105,82,70,58,39,17,15,6,3,3,2,2,1,0,0,0,0,0
DOWN,2,139,136,149,143,138,176,229,241,236,238,246,251,250,245,242,241,243,238,219,188,158,144,123,102,97,85,70,60,49,39,32,25,16,17,17,17,22,32,41,47,47,41,35,38,48,52,49,41,35,30,27,29,24,16,15,14,14,14,13,11,11,9,7,18,24,29,31,19,10,10,9,6,3,8,9,4,10,23,43,62,59,50,65,48,35,38,13,8,7,3,3,1,0,0,3,4,6,7,30,36,34,40,50,60,43,68,96,128,171,206,193,174,80,42,34,28,23,5,1,2,1,1,0,0,0,7,6,5,16,123,255,255,177,190,182,58,69,118,193,240,202,110,43,18,15,8,9,8,6,3,5,5,1,1,0,0,3,6,9,18,148,241,255,255,255,201,181,234,255,255,173,203,211,206,73,45,30,11,19,16,8,8,3,1,1,0,0,60,46,26,125,243,255,255,202,244,255,255,255,255,255,255,255,255,238,239,136,123,67,47,41,12,20,16,2,3,1,1
DOWN,3,148,114,108,93,84,102,148,197,232,247,245,235,230,221,217,211,200,185,167,147,127,106,83,64,48,38,29,22,19,15,12,10,16,16,15,15,22,35,43,43,40,41,45,48,48,47,43,39,36,32,29,27,23,22,20,17,17,17,16,14,13,12,12,9,4,3,5,9,8,6,4,5,6,4,5,6,6,10,16,17,21,29,32,29,21,12,5,1,1,0,0,0,0,0,2,1,0,1,3,7,16,21,32,43,27,20,46,70,74,76,64,46,33,15,8,4,2,1,0,0,0,0,0,0,0,3,1,0,3,16,44,73,76,64,65,86,115,121,99,75,47,21,11,9,5,5,4,1,1,0,0,0,0,0,0,0,3,1,1,3,8,15,33,90,124,99,112,110,77,96,73,42,37,16,8,7,4,4,1,0,0,0,0,0,0,0,0,24,12,4,5,34,76,117,212,227,201,182,212,214,189,120,75,68,47,28,17,14,17,8,3,2,1,1,0,0,0,0
DOWN,4,141,75,61,62,71,107,186,233,237,236,243,250,255,253,237,227,237,246,230,202,176,151,133,114,91,89,74,52,52,43,33,29,12,13,13,14,20,31,42,59,70,51,41,41,36,44,58,57,36,25,30,30,30,26,17,15,13,13,14,13,13,10,7,9,6,1,1,22,26,10,8,7,18,14,5,16,32,35,25,49,77,52,53,47,25,28,16,7,2,0,2,2,0,0,0,0,0,0,19,20,5,62,62,12,11,16,21,176,255,255,255,184,72,46,14,21,11,2,1,0,0,0,0,0,0,0,0,0,0,0,255,255,255,255,255,213,215,255,255,104,47,57,98,179,155,54,9,11,8,2,4,1,1,2,1,0,5,5,0,0,1,35,91,82,255,255,255,255,255,172,255,255,175,152,121,154,40,3,5,3,2,1,2,0,1,1,0,3,5,2,1,2,255,255,255,255,255,255,255,255,255,255,255,255,129,71,52,36,35,6,14,14,4,7,4,3,4,1
LEFT,0,155,127,146,171,199,223,236,244,249,249,244,228,184,125,88,70,55,42,31,23,17,11,9,7,6,7,7,4,0,0,0,0,19,20,20,24,33,43,48,52,54,52,50,47,40,36,39,44,52,68,72,58,44,38,44,67,98,93,62,8,0,0,0,14,10,9,15,26,26,22,26,27,22,23,22,13,6,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,18,42,40,23,27,34,30,36,33,25,17,5,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,14,68,151,253,222,182,221,211,179,155,99,25,15,13,7,3,3,2,0,0,0,0,1,0,0,0,0,0,0,5,7,13,33,81,114,113,126,157,131,103,70,20,20,22,18,18,13,9,6,1,0,0,1,3,3,1,0,0,0,0,53,64,74,156,190,212,235,220,220,230,223,184,116,114,108,108,111,100,72,44,19,7,20,27,42,62,36,4,0,0,0
LEFT,1,157,193,226,235,236,236,236,238,239,244,249,243,200,151,123,162,204,186,162,126,124,104,64,63,52,32,23,12,8,11,20,23,18,19,26,36,43,47,47,46,39,29,24,27,29,45,42,18,26,37,31,17,10,16,29,65,72,60,57,41,24,13,7,50,32,22,16,13,12,8,11,18,16,14,14,9,5,7,8,5,4,2,3,2,0,0,0,0,0,0,0,0,0,0,38,38,19,36,51,45,48,48,65,179,194,81,25,9,15,12,12,11,3,1,1,2,1,1,0,0,0,0,0,0,0,28,34,35,120,255,255,255,195,99,23,28,40,23,61,78,53,38,9,4,3,4,3,2,5,4,1,0,0,0,0,0,38,36,163,233,235,183,201,174,201,155,120,87,158,162,58,33,138,189,83,13,11,23,29,25,25,15,1,0,0,0,0,195,212,198,255,253,255,255,255,255,225,248,224,255,249,207,255,255,255,163,114,32,101,112,103,140,67,4,4,1,1,1
LEFT,2,163,113,116,119,129,155,182,204,225,236,240,242,245,246,234,209,183,146,96,68,60,50,38,28,20,12,9,9,10,8,7,5,20,20,18,20,22,26,32,36,47,54,52,52,52,49,44,39,34,35,37,45,54,53,52,43,34,44,68,100,106,86,61,31,27,18,18,18,18,14,10,7,5,7,7,6,12,14,8,4,3,4,2,1,0,0,0,0,0,0,0,0,0,0,2,2,1,1,2,5,7,8,12,38,72,108,131,94,83,74,65,15,3,4,3,1,0,0,0,0,0,0,0,0,0,7,7,5,8,13,23,41,121,235,209,160,129,147,183,102,60,51,16,12,8,5,4,2,1,0,0,0,3,2,0,0,3,3,4,11,20,24,40,62,86,134,157,120,138,147,115,84,46,23,16,36,37,18,14,12,1,0,1,2,3,4,1,37,26,26,61,90,131,155,133,224,239,226,222,200,162,161,115,104,92,79,156,163,154,123,85,24,7,11,15,21,32,26
LEFT,3,165,196,224,234,234,238,242,243,240,234,234,241,250,255,241,184,135,143,198,216,167,140,88,36,50,50,32,25,23,17,12,8,17,17,19,22,24,27,34,46,53,52,44,30,23,20,22,34,29,16,12,14,13,16,20,8,3,14,65,106,108,92,61,35,58,61,44,30,14,6,9,10,10,8,4,11,30,31,24,18,4,1,2,2,2,0,0,0,0,0,0,0,0,0,10,40,43,46,66,57,38,22,34,42,36,109,168,168,46,18,9,4,4,6,6,2,0,0,0,0,0,0,0,0,0,34,44,62,73,52,96,150,145,204,255,255,134,135,208,172,96,56,34,14,16,8,1,0,0,0,0,0,2,4,4,1,22,21,30,110,144,192,158,255,255,255,255,196,138,114,82,62,36,38,42,50,42,12,2,0,0,0,12,36,32,10,3,181,255,255,255,220,255,255,255,255,255,255,255,255,255,210,255,255,170,118,255,255,147,18,3,2,18,132,154,131,40,16
LEFT,4,161,119,137,160,181,211,240,249,252,243,228,198,138,89,71,56,42,31,23,16,12,9,8,7,6,6,2,0,0,0,0,0,18,19,22,26,33,39,40,39,41,42,40,43,41,41,53,65,66,62,57,50,52,74,92,86,71,31,3,0,0,0,0,17,14,9,9,7,13,16,14,16,12,11,11,5,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,9,10,10,12,21,28,20,17,29,22,5,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,21,36,33,48,88,107,143,164,188,129,116,16,9,4,4,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,9,19,39,55,51,56,65,69,56,49,36,8,9,19,23,12,6,4,1,0,0,1,2,2,0,0,0,0,0,0,30,56,73,179,204,215,215,218,210,119,91,130,120,149,198,205,152,108,70,41,26,25,24,18,24,18,0,0,0,0,0
